Rk,Player,Tm,Pos,Shift,GP,TOI,CF% Rel,GF/60,GA/60,TOI,CF% Rel,GF/60,GA/60,TOI,CF% Rel,GF/60,GA/60,-9999
82,Barrett Hayton,UTA,C,0:47,67,12:54,1.2,2.8,2.4,2:01,6.9,5.8,0.9,0:11,-6.9,0.0,9.6,haytoba01
83,Beck Malenstyn,BUF,LW,0:35,81,9:25,-4.0,2.0,2.1,0:00,-38.4,0.0,0.0,1:47,-4.0,0.8,4.1,malenbe01
84,Beckett Sennecke,ANA,F,0:43,82,15:03,-0.1,3.2,3.5,2:20,-8.0,6.5,1.9,0:02,36.2,19.4,0.0,sennebe01
85,Ben Chiarot,DET,D,0:38,82,18:56,-4.6,2.5,2.9,0:06,11.0,0.0,0.0,1:47,-0.4,0.4,9.0,chiarbe01
86,Ben Hutton,VEG,D,0:28,55,14:19,0.0,3.0,2.8,0:14,-5.0,0.0,0.0,0:01,-11.9,0.0,0.0,huttobe01
87,Ben Jones,MIN,F,0:46,28,8:30,-8.9,1.0,3.5,0:03,10.3,34.0,0.0,0:15,0.6,0.0,8.2,jonesbe01
88,Ben Meyers,SEA,F,0:36,52,10:16,2.0,2.5,3.8,0:03,-13.4,0.0,0.0,1:36,-1.3,0.0,7.9,meyerbe01
89,Benjamin Kindel,PIT,C,0:46,77,12:35,3.4,2.5,2.7,1:49,-1.5,8.5,1.7,0:38,1.1,2.4,6.1,kindebe01
90,Benoit-Olivier Groulx,TOR,C,0:43,13,12:25,-9.0,3.3,2.6,0:20,14.0,0.0,0.0,2:56,-4.2,3.1,3.1,groulbe01
91,Berkly Catton,SEA,F,0:37,66,12:04,2.0,2.2,2.8,0:51,-2.7,5.3,0.0,0:00,,0.0,0.0,cattobe01
92,Blake Coleman,CGY,C,0:38,69,13:53,3.8,3.2,2.6,1:17,4.6,4.1,1.4,2:09,4.1,1.6,8.9,colembl01
93,Blake Lizotte,PIT,C,0:33,55,11:19,0.6,2.7,2.2,0:03,15.4,0.0,0.0,2:29,0.7,0.4,3.9,lizotbl01
94,Bo Horvat,NYI,C,0:48,68,15:13,5.0,3.6,3.1,3:34,7.6,6.2,0.7,1:57,-1.6,0.4,8.1,horvabo01
95,Bobby Brink,TOT,RW,0:34,68,13:10,-1.9,2.2,2.9,1:57,-6.9,8.4,0.0,0:01,,,,brinkbo01
96,Bobby McMann,TOT,F,1:00,78,14:46,0.5,3.3,3.3,0:58,-18.9,4.2,0.0,0:11,23.5,0.0,81.8,mcmanbo02
97,Bogdan Trineyev,WSH,RW,0:40,2,10:17,12.6,0.0,0.0,0:14,-37.1,0.0,0.0,0:00,,,,trinebo01
98,Bokondji Imama,PIT,LW,0:50,2,7:38,12.7,0.0,0.0,0:00,,,,0:00,,,,imamabo01
99,Boone Jenner,CBJ,C,0:47,67,13:49,0.2,3.0,2.7,0:48,2.7,3.3,2.2,1:26,-0.8,0.6,7.4,jennebo01
100,Boris Katchouk,TBL,LW,0:44,3,10:32,2.1,1.9,1.9,0:00,,,,1:39,38.9,0.0,0.0,katchbo01
101,Bowen Byram,BUF,D,0:44,82,19:07,0.4,3.4,3.0,1:35,0.5,5.5,0.0,1:37,1.3,2.3,5.4,byrambo01
102,Brad Lambert,WPG,C,0:59,25,9:25,-2.5,1.5,2.8,1:22,2.6,3.5,0.0,0:00,,0.0,0.0,lambebr01
103,Brad Marchand,FLA,LW,0:46,52,12:59,-1.6,3.9,4.9,3:42,1.8,9.3,1.6,1:01,9.7,0.0,4.5,marchbr03
