Overall,Team,Player,Nat,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GPG,W,L,T/O,SV per,GAA,PS,upload
153,Toronto Maple Leafs,Hudson Malinoski,CA,C,19,,Brooks (AJHL),,,,,,,,,,,,,,malinhu01
154,New Jersey Devils,Chase Cheslock,US,D,18,,Rogers (High-MN),,,,,,,,,,,,,,cheslch01
155,Colorado Avalanche,Nikita Ishimnikov,RU,D,18,,Yekaterinburg Jr. (Russia-Jr.),,,,,,,,,,,,,,ishimni01
156,Columbus Blue Jackets,Melvin Strahl,SE,G,18,,Modo Jr. (Sweden-Jr.),,,,,,,,,,,,,,strahme01
157,Dallas Stars,Arno Tiefensee,DE,G,21,,Mannheim (GERMANY),,,,,,,,,,,,,,tiefear01
158,Carolina Hurricanes,Ruslan Khazheyev,RU,G,18,,Chelyabinsk Jr. (Russia-Jr.),,,,,,,,,,,,,,khazhru01
159,Florida Panthers,Olof Glifford,SE,G,18,,Hv 71 U18 (Sweden-Jr.),,,,,,,,,,,,,,gliffol01
160,Arizona Coyotes,Justin Kipkie,CA,D,18,,Victoria Royals (WHL),,,,,,,,,,,,,,kipkiju01
161,Anaheim Ducks,Vojtech Port,CZ,D,18,,Edmonton Oil Kings (WHL),,,,,,,,,,,,,,portvo01
162,Arizona Coyotes,Samu Bau,FI,C,19,,Ilves (Finland),,,,,,,,,,,,,,bausa01
163,Carolina Hurricanes,Timur Mukhanov,RU,LW,18,,Omsk Jr. (Russia-Jr.),,,,,,,,,,,,,,mukhati01
164,New Jersey Devils,Cole Brown,CA,LW,18,,Hamilton Bulldogs (OHL),,,,,,,,,,,,,,brownco03
165,Montreal Canadiens,Filip Eriksson,SE,C,18,,Vaxjo Jr. (Sweden-Jr.),,,,,,,,,,,,,,eriksfi01
166,Arizona Coyotes,Carsen Musser,US,G,18,,Usa U-18 (U.S. NTDP),,,,,,,,,,,,,,musseca01
167,Chicago Blackhawks,Milton Oscarson,SE,C,20,,Orebro (Sweden),,,,,,,,,,,,,,oscarmi01
168,Seattle Kraken,Visa Vedenpaa,FI,G,18,,Karpat Jr. (Finland-Jr.),,,,,,,,,,,,,,vedenvi01
169,Detroit Red Wings,Rudy Guimond,CA,G,18,,Taft School (HIGH-CT),,,,,,,,,,,,,,guimoru01
170,St. Louis Blues,Matthew Mayich,CA,D,18,,Ottawa 67's (OHL),,,,,,,,,,,,,,mayicma01
171,Vancouver Canucks,Aiden Celebrini,CA,D,18,,Brooks (AJHL),,,,,,,,,,,,,,celebai01
172,Philadelphia Flyers,Ryan Macpherson,CA,C,18,,Leamington (GOJHL),,,,,,,,,,,,,,macphry01
173,Buffalo Sabres,Sean Keohane,US,D,18,,Dexter School (High-MA),,,,,,,,,,,,,,keohase01
174,Pittsburgh Penguins,Cooper Foster,CA,C,18,,Ottawa 67's (OHL),,,,,,,,,,,,,,fosteco02
175,Nashville Predators,Austin Roest,CH,C,19,,Everett Silvertips (WHL),,,,,,,,,,,,,,roestau01
176,Calgary Flames,Yegor Yegorov,RU,G,18,,Dynamo Moscow Jr. (Russia-Jr.),,,,,,,,,,,,,,yegorye01
177,New York Islanders,Zachary Schulz,US,D,18,,Usa U-18 (U.S. NTDP),,,,,,,,,,,,,,schulza01
178,New York Rangers,Dylan Roobroeck,CA,C,19,,Oshawa Generals (OHL),,,,,,,,,,,,,,roobrdy01
179,Tampa Bay Lightning,Warren Clark,CA,D,19,,Steinbach (MJHL),,,,,,,,,,,,,,clarkwa01
180,Seattle Kraken,Zeb Forsfjall,SE,C,18,,Skelleftea Jr. (Sweden-Jr.),,,,,,,,,,,,,,forsfze01
181,Minnesota Wild,Kalem Parker,CA,D,18,,Victoria Royals (WHL),,,,,,,,,,,,,,parkeka01
