Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards,upload
640,Alex Hicks,30,FLA,LW,8,1,2,3,3,4,1,0,0,0,2,0,0,6,16.7,69:11,8:39,,hicksal01
641,Ric Jackman,21,DAL,D,22,1,2,3,-1,6,0,1,0,0,2,0,0,16,6.3,178:16,8:06,,jackmri01
642,Evgeny Korolev,21,NYI,D,17,1,2,3,-10,8,1,0,0,0,1,1,0,7,14.3,275:28,16:12,,korolev01
643,Jason Marshall,28,MDA,D,55,0,3,3,-10,88,0,0,0,0,3,0,0,41,0.0,910:28,16:33,,marshja02
644,Chris McAllister,24,TOR,D,36,0,3,3,-4,68,0,0,0,0,3,0,0,12,0.0,433:18,12:02,,mcallch01
645,Chris Murray,25,DAL,RW,32,2,1,3,-7,62,2,0,0,0,1,0,0,25,8.0,169:56,5:19,,murrach01
646,Ivan Novoseltsev,21,FLA,RW,14,2,1,3,-3,8,0,2,0,0,1,0,0,8,25.0,146:42,10:29,,novosiv01
647,Jeff Odgers,30,COL,RW,62,1,2,3,-7,162,1,0,0,1,2,0,0,29,3.4,333:37,5:23,,odgerje01
648,Vladimír Országh,22,NYI,RW,11,2,1,3,1,4,2,0,0,0,1,0,0,16,12.5,131:04,11:55,,orszavl01
649,Marek Posmyk,21,TBL,D,18,1,2,3,1,20,1,0,0,0,2,0,0,22,4.5,237:29,13:12,,posmyma01
650,Joel Prpic,25,BOS,C,14,0,3,3,-6,0,0,0,0,0,3,0,0,13,0.0,95:02,6:47,,prpicjo01
651,Patrick Roy,34,COL,G,63,0,3,3,0,10,0,0,0,0,,,,1,0.0,3704:18,58:48,Vezina-6,roypa01
652,Ulf Samuelsson,35,PHI,D,49,1,2,3,8,58,1,0,0,1,2,0,0,17,5.9,767:53,15:40,,samueul01
653,Mikhail Shtalenkov,34,2TM,G,30,0,3,3,0,4,0,0,0,0,,,,0,,1786:06,59:32,,shtalmi01
