Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,-9999
131,Detroit Red Wings,Cole Fraser,CA,D,18,,Peterborough Petes (OHL),,,,,,,,,,,,,,fraseco02
132,Dallas Stars,Jacob Peterson,SE,C,18,2024,Frolunda HC Jr. (Sweden Jr.),83,14,11,25,-16,18,,,,,,,1.7,peterja01
133,Florida Panthers,Tyler Inamoto,US,D,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,inamoty01
134,Los Angeles Kings,Cole Hults,US,D,19,,Madison Capitols (USHL),,,,,,,,,,,,,,hultsco01
135,Vancouver Canucks,Kristoffer Gunnarsson,SE,D,20,,Frolunda HC (Sweden),,,,,,,,,,,,,,gunnakr01
136,Winnipeg Jets,Leon Gawanke,DE,D,18,,Cape Breton Screaming Eagles (QMJHL),,,,,,,,,,,,,,gawanle01
137,Philadelphia Flyers,Noah Cates,US,LW,18,2026,Stillwater HS (High-MN),317,58,91,149,28,74,,,,,,,13.6,catesno01
138,Los Angeles Kings,Drake Rymsha,US,C,19,2021,Sarnia Sting (OHL),1,0,0,0,1,0,,,,,,,0.0,rymshdr01
139,New York Islanders,Sebastian Aho,SE,D,21,2024,Skelleftea AIK (Sweden),190,11,39,50,-10,52,,,,,,,8.1,ahose02
140,Calgary Flames,Zach Fischer,CA,RW,20,,Medicine Hat Tigers (WHL),,,,,,,,,,,,,,fischza01
141,Toronto Maple Leafs,Fedor Gordeev,RU,D,18,,Flint Firebirds (OHL),,,,,,,,,,,,,,gordefe01
142,Vegas Golden Knights,Jonathan Dugan,US,LW,19,,Northwood School (High-NY),,,,,,,,,,,,,,duganjo01
143,New Jersey Devils,Marian Studenic,SK,RW,18,2024,Hamilton Bulldogs (OHL),46,3,3,6,-11,12,,,,,,,-0.3,studema01
144,Chicago Blackhawks,Parker Foo,CA,LW,19,,Brooks (AJHL),,,,,,,,,,,,,,foopa01
145,New York Rangers,Calle Sjalin,SE,D,18,,Ostersunds IK (Sweden-3),,,,,,,,,,,,,,sjalica01
146,Edmonton Oilers,Kirill Maksimov,RU,RW,18,,Niagara IceDogs (OHL),,,,,,,,,,,,,,maksiki01
147,Minnesota Wild,Jacob Golden,CA,D,18,,London Knights (OHL),,,,,,,,,,,,,,goldeja01
148,Columbus Blue Jackets,Kale Howarth,CA,LW,20,,Trail (BCHL),,,,,,,,,,,,,,howarka01
149,Montreal Canadiens,Jarret Tyszka,CA,D,18,,Seattle Thunderbirds (WHL),,,,,,,,,,,,,,tyszkja01
150,Chicago Blackhawks,Jakub Galvas,CZ,D,18,2022,HC Olomuc (Czech),6,0,0,0,0,0,,,,,,,0.1,galvaja01
151,Washington Capitals,Sebastian Walfridsson,SE,D,18,,MODO Hockey Jr. (Sweden Jr.),,,,,,,,,,,,,,walfrse01
152,Pittsburgh Penguins,Jan Drozg,SI,LW,18,,Leksands IF Jr. (Sweden Jr.),,,,,,,,,,,,,,drozgja01
153,Anaheim Ducks,Olle Eriksson Ek,SE,G,18,2023,Farjestad BK Jr. (Sweden Jr.),1,0,0,0,,0,1,0,0,1,.872,4.69,0.1,eriksol01
154,Nashville Predators,Tomas Vomacka,CZ,G,18,,Corpus Christi Ice Rays (NAHL),,,,,,,,,,,,,,vomacto01
155,Pittsburgh Penguins,Linus Olund,SE,C,20,,Brynas IF (Sweden),,,,,,,,,,,,,,olundli01
156,Colorado Avalanche,Denis Smirnov,RU,RW,20,,Penn State (Big Ten),,,,,,,,,,,,,,smirnde01
157,New York Rangers,Dominik Lakatos,CZ,C,20,,Bili Tygri Liberec (Czech),,,,,,,,,,,,,,lakatdo01
158,Vegas Golden Knights,Nick Campoli,CA,C,18,,North York (OJHL),,,,,,,,,,,,,,camponi01
159,San Jose Sharks,Jacob McGrew,US,RW,18,,Spokane Chiefs (WHL),,,,,,,,,,,,,,mcgreja01
160,New Jersey Devils,Aarne Talvitie,FI,C,18,,Blues Jr. (Finland Jr.),,,,,,,,,,,,,,talviaa01
161,Vegas Golden Knights,Jiri Patera,CZ,G,18,2026,HC Motor Ceske Budejovice Jr. (Czech Jr.),9,0,0,0,0,0,9,3,4,1,.892,4.01,1.4,paterji01
