Player,Career Earnings (millions),Contract Type,Salary Cap Hit (millions),Signing GM
Justin Holl,18.92,STD,3.400,Steve Yzerman
Jake Walman,13.30,STD,3.400,Steve Yzerman
Jonas Siegenthaler,16.29,STD,3.400,Tom Fitzgerald
Aliaksei Protas,9.57,STD,3.375,Brian MacLellan
Jack Quinn,6.01,STD,3.375,Kevyn Adams
J.J. Moser,9.11,STD,3.375,Julien BriseBois
Kirby Dach,16.15,STD,3.363,Kent Hughes
Connor Clifton,13.89,STD,3.333,Kevyn Adams
Mario Ferraro,15.76,STD,3.250,Mike Grier
Ilya Lyubushkin,16.98,STD,3.250,Jim Nill
Cole Perfetti,8.80,STD,3.250,Kevin Cheveldayoff
Ridly Greig,4.68,STD,3.250,Steve Staios
Gustav Nyquist,54.03,STD,3.250,Kevin Cheveldayoff
Adam Lowry,29.72,STD,3.250,Kevin Cheveldayoff
Carson Soucy,19.66,STD,3.250,Patrik Allvin
Dakota Joshua,9.81,STD,3.250,Patrik Allvin
Shayne Gostisbehere,41.08,STD,3.200,Eric Tulsky
Michael Rasmussen,11.41,STD,3.200,Steve Yzerman
Mason Lohrei,4.65,STD,3.200,Don Sweeney
Taylor Hall,80.18,STD,3.167,Eric Tulsky
Erik Haula,27.99,STD,3.150,Tom Fitzgerald
Nick Paul,20.21,STD,3.150,Julien BriseBois
Jordan Martinook,23.03,STD,3.050,Eric Tulsky
Patrick Kane,127.86,STD,3.000,Steve Yzerman
Adam Henrique,60.83,STD,3.000,Jeff Jackson
Tyler Myers,77.81,STD,3.000,Patrik Allvin
Nic Dowd,12.41,STD,3.000,Chris Patrick
Vladislav Namestnikov,29.01,STD,3.000,Kevin Cheveldayoff
Scott Laughton,24.10,STD,3.000,Chuck Fletcher
Alexander Kerfoot,25.83,STD,3.000,Bill Armstrong
Connor Brown,24.42,STD,3.000,Tom Fitzgerald
Trevor van Riemsdyk,19.79,STD,3.000,Brian MacLellan
Evan Rodrigues,17.67,STD,3.000,Bill Zito
Nicolas Roy,15.15,STD,3.000,Kelly McCrimmon
Jalen Chatfield,10.03,STD,3.000,Eric Tulsky
Timothy Liljegren,9.92,STD,3.000,Brad Treliving
Henri Jokiharju,15.89,STD,3.000,Don Sweeney
Eetu Luostarinen,11.34,STD,3.000,Bill Zito
Pierre Engvall,14.43,STD,3.000,Lou Lamoriello
Mathieu Olivier,8.30,STD,3.000,Don Waddell
Nils Hoglander,8.10,STD,3.000,Patrik Allvin
Luke Evangelista,4.02,STD,3.000,Barry Trotz
Alex Newhook,11.22,STD,2.900,Kent Hughes
Jordan Staal,88.05,STD,2.900,Don Waddell
Mason Appleton,13.08,STD,2.900,Steve Yzerman
Colton Sissons,23.77,STD,2.857,David Poile
Jake Evans,10.16,STD,2.850,Kent Hughes
Ian Cole,38.11,STD,2.800,Bill Armstrong
Luke Schenn,35.36,STD,2.750,Barry Trotz
Stefan Noesen,14.03,STD,2.750,Tom Fitzgerald
Brett Kulak,20.06,STD,2.750,Ken Holland
Anthony Beauvillier,23.75,STD,2.750,Chris Patrick
Andrew Peeke,10.67,STD,2.750,Jarmo Kekalainen
Nicklaus Perbix,5.80,STD,2.750,Barry Trotz
Zach Whitecloud,14.15,STD,2.750,Kelly McCrimmon
Nick Seeler,11.23,STD,2.700,Daniel Briere
Martin Fehérváry,9.63,STD,2.675,Brian MacLellan
Barrett Hayton,10.77,STD,2.650,Bill Armstrong
Michael Amadio,10.79,STD,2.600,Steve Staios
Casey Cizikas,33.62,STD,2.500,Lou Lamoriello
Joel Armia,27.67,STD,2.500,Ken Holland
Anthony Mantha,37.98,STD,2.500,Kyle Dubas
Miles Wood,25.96,STD,2.500,Chris MacFarland
Keegan Kolesar,9.20,STD,2.500,Kelly McCrimmon
Niko Mikkola,11.10,STD,2.500,Bill Zito
Brandon Tanev,27.38,STD,2.500,Bill Armstrong
Brett Howden,11.76,STD,2.500,Kelly McCrimmon
Cody Glass,9.60,STD,2.500,Tom Fitzgerald
Logan O'Connor,7.62,STD,2.500,Chris MacFarland
Drew O'Connor,6.23,STD,2.500,Patrik Allvin
Garnet Hathaway,16.32,STD,2.400,Daniel Briere
Yanni Gourde,37.74,STD,2.333,Julien BriseBois
Jamie Drysdale,9.15,STD,2.300,Pat Verbeek
Dylan Holloway,5.86,STD,2.290,Doug Armstrong
Cole Sillinger,7.15,STD,2.250,Don Waddell
Maxim Tsyplakov,3.19,STD,2.250,Mathieu Darche
Danton Heinen,15.53,STD,2.250,Patrik Allvin
Conor Timmins,6.69,STD,2.200,Kevyn Adams
Braden Schneider,6.73,STD,2.200,Chris Drury
Connor McMichael,6.10,STD,2.100,Brian MacLellan
Egor Chinakhov,6.65,STD,2.100,Don Waddell
Calle Jarnkrok,23.27,STD,2.100,Kyle Dubas
Frédérick Gaudreau,12.85,STD,2.100,Bill Guerin
Sam Steel,7.93,STD,2.100,Jim Nill
Ryker Evans,3.54,STD,2.050,Jason Botterill
Nico Sturm,9.53,STD,2.000,Bill Guerin
Corey Perry,109.63,STD,2.000,Ken Holland
Claude Giroux,101.40,STD,2.000,Steve Staios
Jonathan Toews,120.04,STD,2.000,Kevin Cheveldayoff
Reilly Smith,52.94,STD,2.000,Kelly McCrimmon
Derek Forbort,22.43,STD,2.000,Patrik Allvin
Brandon Saad,64.26,STD,2.000,Kelly McCrimmon
Radek Faksa,27.68,STD,2.000,Jim Nill
William Carrier,14.10,STD,2.000,Eric Tulsky
Sam Lafferty,8.45,STD,2.000,Kevyn Adams
Jeremy Lauzon,10.89,STD,2.000,David Poile
Kevin Stenlund,8.62,STD,2.000,Bill Armstrong
Adam Gaudette,7.97,STD,2.000,Mike Grier
Noel Acciari,15.28,STD,2.000,Kyle Dubas
Ryan Lomberg,7.83,STD,2.000,Craig Conroy
Vincent Desharnais,5.11,STD,2.000,Patrik Allvin
Ryan Poehling,6.94,STD,1.900,Daniel Briere
