Overall,Team,Player,Nat,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV per,GAA,PS,upload
164,Edmonton Oilers,Michael Kesselring,US,D,18,2026,New Hampton School (High-NH),190,12,43,55,14,211,,,,,,,10.1,kessemi01
165,Los Angeles Kings,Johan Sodergran,SE,RW,18,,Linkoping HC Jr. (Sweden Jr.),,,,,,,,,,,,,,soderjo01
166,Carolina Hurricanes,Jesper Sellgren,SE,D,20,,MODO Hockey (Sweden-2),,,,,,,,,,,,,,sellgje01
167,Calgary Flames,Mathias Emilio Pettersen,NO,C,18,,Muskegon Lumberjacks (USHL),,,,,,,,,,,,,,emilima01
168,Dallas Stars,Dawson Barteaux,CA,D,18,,Red Deer Rebels (WHL),,,,,,,,,,,,,,barteda01
169,St. Louis Blues,Mathias Laferriere,CA,RW,18,,Cape Breton Screaming Eagles (QMJHL),,,,,,,,,,,,,,laferma01
170,Florida Panthers,Justin Schutz,DE,LW,18,,RB Hockey Akademie Jr. (Czech Jr.),,,,,,,,,,,,,,schutju01
171,Colorado Avalanche,Nikolai Kovalenko,US,RW,18,2025,Loko Yaroslavl (Russia Jr.),57,7,13,20,-9,16,,,,,,,1.2,kovalni01
172,New Jersey Devils,Mitchell Hoelscher,CA,C,18,,Ottawa 67's (OHL),,,,,,,,,,,,,,hoelsmi01
173,Columbus Blue Jackets,Veini Vehvilainen,FI,G,21,2021,Karpat (Finland),1,0,0,0,,0,1,0,0,0,.750,5.63,0.0,vehvive01
174,Philadelphia Flyers,Gavin Hain,US,C,18,,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,,,,hainga01
175,Los Angeles Kings,Jacob Ingham,CA,G,18,,Mississauga Steelheads (OHL),,,,,,,,,,,,,,inghaja01
176,San Jose Sharks,Zachary Emond,CA,G,18,,Rouyn-Noranda Huskies (QMJHL),,,,,,,,,,,,,,emondza01
177,Pittsburgh Penguins,Liam Gorman,US,C,18,,St. Sebastian's School (High-MA),,,,,,,,,,,,,,gormali01
178,Anaheim Ducks,Hunter Drew,CA,D,19,2022,Charlottetown Islanders (QMJHL),2,0,0,0,0,5,,,,,,,0.0,drewhu01
179,Minnesota Wild,Shawn Boudrias,CA,RW,19,,Gatineau Olympiques (QMJHL),,,,,,,,,,,,,,boudrsh01
180,Vegas Golden Knights,Peter Diliberatore,CA,D,18,,Salisbury School (High-CT),,,,,,,,,,,,,,dilibpe01
181,Boston Bruins,Dustyn McFaul,CA,D,18,,Pickering (OJHL),,,,,,,,,,,,,,mcfaudu01
182,San Jose Sharks,John Leonard,US,LW,20,2026,Massachusetts (H-East),81,8,13,21,-16,4,,,,,,,1.0,leonajo01
183,Tampa Bay Lightning,Cole Koepke,US,LW,20,2026,Sioux City Musketeers (USHL),165,19,18,37,-3,35,,,,,,,2.8,koepkco01
184,Winnipeg Jets,Jared Moe,US,G,19,,Waterloo Black Hawks (USHL),,,,,,,,,,,,,,moeja01
185,Vegas Golden Knights,Xavier Bouchard,CA,D,18,,Baie-Comeau Drakkar (QMJHL),,,,,,,,,,,,,,bouchxa01
186,Vancouver Canucks,Artyom Manukyan,RU,RW,20,,Avangard Omsk (Russia),,,,,,,,,,,,,,manukar01
187,Buffalo Sabres,William Worge Kreu,SE,D,18,,Linkoping HC Jr. (Sweden Jr.),,,,,,,,,,,,,,worgewi01
188,Ottawa Senators,Jakov Novak,CA,LW,19,,Janesville Jets (NAHL),,,,,,,,,,,,,,novakja01
189,Arizona Coyotes,Liam Kirk,GB,LW,18,,Sheffield (England),,,,,,,,,,,,,,kirkli01
190,Montreal Canadiens,Brett Stapley,CA,C,19,,Vernon (BCHL),,,,,,,,,,,,,,staplbr02
191,Detroit Red Wings,Otto Kivenmaki,FI,C,18,,Assat Jr. (Finland Jr.),,,,,,,,,,,,,,kivenot01
192,Vancouver Canucks,Matthew Thiessen,CA,G,18,,Steinbach (MJHL),,,,,,,,,,,,,,thiesma01
193,Chicago Blackhawks,Josiah Slavin,US,LW,19,2026,Lincoln Stars (USHL),17,0,1,1,1,6,,,,,,,-0.2,slavijo01
194,Ottawa Senators,Luke Loheit,US,RW,18,,Minnetonka HS (High-MN),,,,,,,,,,,,,,loheilu01
195,Edmonton Oilers,Patrik Siikanen,FI,C,18,,Blues Jr. (Finland Jr.),,,,,,,,,,,,,,siikapa01
196,New York Islanders,Christian Krygier,US,D,18,,Lincoln Stars (USHL),,,,,,,,,,,,,,krygich01
197,Carolina Hurricanes,Jacob Kucharski,US,G,18,,Des Moines Buccaneers (USHL),,,,,,,,,,,,,,kuchaja01
